assignment,allegiance_designation,website,name,campaign_assignment,pickup_service_validation,contact_page_validation,address,phone,price_level,alegiance,city,state,blocking issue,email_address,date_sent,time_sent,phone_number ,Received_Response,Estimate,Time_Response_Received
black_female,Confederacy,http://www.sawsbbq.com/,SAW’s Soul Kitchen,,,,"215 41st St S, Birmingham, AL 35222, USA",(205) 591-1409,2,Confederacy,Birmingham,Alabama,,,,,,,,
black_female,Confederacy,http://www.snapdecisionscatering.com/,Snap Decisions Catering LLC,,,,"14517 AL-69, Northport, AL 35475, USA",(205) 339-0889,,Confederacy,Northport,Alabama,,,,,,,,
black_female,Confederacy,http://www.sweetbasilalabama.com/,Sweet Basil Alabama,,,,"1627 Darby Dr, Florence, AL 35630, USA",(256) 764-5991,2,Confederacy,Florence,Alabama,,,,,,,,
black_female,Confederacy,http://topsfoodtruck.wixsite.com/topsfoodtruck,"Tops Food Truck, LLC",,,,"420 Holcombe Ave, Mobile, AL 36606, USA",(251) 610-3729,,Confederacy,Mobile,Alabama,,,,,,,,
black_female,Confederacy,https://www.trelunacatering.com/,Tre Luna Catering,1,1,1,"2513 5th Ave S, Birmingham, AL 35233, USA",(205) 910-7780,,Confederacy,Birmingham,Alabama,,monique.jackson0241@gmail.com,12/4/2025,9:53:00 PM,9343330428,1,-1,12/5/2025 8:12 AM
black_female,Confederacy,http://www.vaughantogo.com/,Vaughan and Company,,,,"73 Church St, Birmingham, AL 35213, USA",(205) 999-9097,,Confederacy,Birmingham,Alabama,,,,,,,,
black_female,Confederacy,http://www.zoeskitchenbhm.com/,Zoës Kitchen,,,,"225 Country Clb Pk, Birmingham, AL 35213, USA",(205) 871-0060,2,Confederacy,Birmingham,Alabama,,,,,,,,
black_male,Confederacy,http://www.1918catering.com/,1918 Catering,,,,"197 Vulcan Rd, Birmingham, AL 35209, USA",(205) 518-5711,2,Confederacy,Birmingham,Alabama,,,,,,,,
black_male,Confederacy,https://ashleymacs.com/,Ashley Mac's Kitchen,,,,"4730 Chace Cir, Hoover, AL 35244, USA",(205) 259-5044,2,Confederacy,Hoover,Alabama,,,,,,,,
black_male,Confederacy,https://ashleymacs.com/,Ashley Mac's Kitchen,,,,"3147 Green Valley Rd, Birmingham, AL 35243, USA",(205) 822-4142,2,Confederacy,Birmingham,Alabama,,,,,,,,
black_male,Confederacy,https://www.bateshouseturkey.com/,Bates House of Turkey,,,,"1001 Fort Dale Rd, Greenville, AL 36037, USA",(334) 382-6123,1,Confederacy,Greenville,Alabama,,,,,,,,
black_male,Confederacy,http://www.cateringbybellinis.com/,Catering by Bellinis,,,,"6801 Cahaba Valley Rd #106, Birmingham, AL 35242, USA",(205) 617-2449,,Confederacy,Birmingham,Alabama,,,,,,,,
black_male,Confederacy,https://www.eatsbysheats.com/,Eats By Sheats,,,,"1790 S Bethel Rd Suite C, Decatur, AL 35603, USA",(256) 621-2425,,Confederacy,Decatur,Alabama,,,,,,,,
black_male,Confederacy,http://www.everythingiz.com/,Everything Iz,,,,"2514 Rocky Ridge Rd, Vestavia Hills, AL 35243, USA",(205) 979-7570,2,Confederacy,Vestavia Hills,Alabama,,,,,,,,
black_male,Confederacy,https://freighthousehartselle.com/?utm_source=google,Freight House Restaurant,,,,"200 Railroad St SW, Hartselle, AL 35640, USA",(256) 773-4600,2,Confederacy,Hartselle,Alabama,,,,,,,,
black_male,Confederacy,http://www.katsdelivery.com/,KATs Delivery,,,,"50 Gilbert Dr, Alabaster, AL 35007, USA",(205) 624-0777,,Confederacy,Alabaster,Alabama,,,,,,,,
black_male,Confederacy,http://www.eatkbc.com/,KBC,,,,"151 N Foster St #2, Dothan, AL 36303, USA",(334) 446-0885,2,Confederacy,Dothan,Alabama,,,,,,,,
black_male,Confederacy,http://www.kingstableonline.com/,King's Table Catering,,,,"40 Carol Villa Dr, Montgomery, AL 36109, USA",(334) 270-0200,,Confederacy,Montgomery,Alabama,,,,,,,,
black_male,Confederacy,http://www.lunchboxex.com/,Lunch Box Express,,,,"713 22nd St S, Birmingham, AL 35233, USA",(205) 871-7901,2,Confederacy,Birmingham,Alabama,,,,,,,,
black_male,Confederacy,http://neighborhoodgrillandcatering.com/,Neighborhood Grill and Catering - Clanton,,,,"309 7th St N, Clanton, AL 35045, USA",(205) 755-2220,2,Confederacy,Clanton,Alabama,,,,,,,,
black_male,Confederacy,https://potzandpanzgourmetcafe.com/,Potz & Panz Gourmet Cafe Catering LLC,,,,"2547 Lower Wetumpka Rd, Montgomery, AL 36110, USA",(334) 676-3343,1,Confederacy,Montgomery,Alabama,,,,,,,,
black_male,Confederacy,http://robertsonsbbq.com/,Robertson BBQ & Country Store,,,,"17099 Ralph Loop Rd, Ralph, AL 35480, USA",(205) 366-2208,,Confederacy,Ralph,Alabama,,,,,,,,
black_male,Confederacy,https://www.soulheavencafe.com/,Soul Heaven Cafe & Catering,1,1,1,"7850 Tanner Williams Rd, Mobile, AL 36608, USA",(251) 465-4247,1,Confederacy,Mobile,Alabama,,andre.lamar0241@gmail.com,12/4/2025,10:23:00 PM,9343330428,1,-1,12/6/2025 7:13 PM
black_female,Confederacy,https://patacakescatering.com/,"PATAcakes Catering, Venue, and More",1,1,1,"121 N Main St, Nashville, AR 71852, USA",(870) 455-5051,,Confederacy,Nashville,Arkansas,,monique.jackson0241@gmail.com,11/18/2025,4:00:00 PM,9343330428,1,-1,11/18/2025 4:07 PM
black_male,Confederacy,http://www.sweetbasilalabama.com/,Sweet Basil Alabama,,,,"1627 Darby Dr, Florence, AL 35630, USA",(256) 764-5991,2,Confederacy,Florence,Alabama,,,,,,,,
black_male,Confederacy,http://happycatering.net/,The Happy Catering Co,,,,"225 Oxmoor Cir #803, Homewood, AL 35209, USA",(205) 251-8925,,Confederacy,Homewood,Alabama,,,,,,,,
black_male,Confederacy,http://topsfoodtruck.wixsite.com/topsfoodtruck,"Tops Food Truck, LLC",,,,"420 Holcombe Ave, Mobile, AL 36606, USA",(251) 610-3729,,Confederacy,Mobile,Alabama,,,,,,,,
black_male,Confederacy,http://www.uc-birmingham.com/,Urban Cookhouse,,,,"1920 29th Ave S, Birmingham, AL 35209, USA",(205) 879-0883,2,Confederacy,Birmingham,Alabama,,,,,,,,
black_male,Confederacy,http://www.uc-birmingham.com/,Urban Cookhouse,,,,"1920 29th Ave S, Birmingham, AL 35209, USA",(205) 879-0883,2,Confederacy,Birmingham,Alabama,,,,,,,,
black_male,Confederacy,http://www.ursulascatering.com/,ursula's catering,,,,"190 E University Dr #1403, Auburn, AL 36830, USA",(334) 821-9921,,Confederacy,Auburn,Alabama,,,,,,,,
white_female,Confederacy,http://www.1918catering.com/,1918 Catering,,,,"197 Vulcan Rd, Birmingham, AL 35209, USA",(205) 518-5711,2,Confederacy,Birmingham,Alabama,,,,,,,,
white_female,Confederacy,https://ashleymacs.com/,Ashley Mac's Kitchen,,,,"3147 Green Valley Rd, Birmingham, AL 35243, USA",(205) 822-4142,2,Confederacy,Birmingham,Alabama,,,,,,,,
white_female,Confederacy,http://bbqhavenllc.com/,BBQ Haven LLC,,,,"1109 Boll Weevil Cir #1, Enterprise, AL 36330, USA",(334) 417-0685,2,Confederacy,Enterprise,Alabama,,,,,,,,
white_female,Confederacy,http://www.celebrationcatering.co/,Celebration Catering,,,,"5160 AL-180 suite b, Gulf Shores, AL 36542, USA",(251) 500-1788,,Confederacy,Gulf Shores,Alabama,,,,,,,,
white_female,Confederacy,https://www.eatsbysheats.com/,Eats By Sheats,,,,"1790 S Bethel Rd Suite C, Decatur, AL 35603, USA",(256) 621-2425,,Confederacy,Decatur,Alabama,,,,,,,,
white_female,Confederacy,http://www.everythingiz.com/,Everything Iz,,,,"2514 Rocky Ridge Rd, Vestavia Hills, AL 35243, USA",(205) 979-7570,2,Confederacy,Vestavia Hills,Alabama,,,,,,,,
white_female,Confederacy,http://www.goodcompany-cafe.com/,Good Company Cafe,,,,"7500 Memorial Pkwy SW #123, Huntsville, AL 35802, USA",(256) 881-0044,1,Confederacy,Huntsville,Alabama,,,,,,,,
white_female,Confederacy,https://homewoodgourmet.com/?utm_source=gmb&utm_medium=organic,Homewood Gourmet,1,1,1,"2703 Mamie L Foster, 18th Pl S, Homewood, AL 35209, USA",(205) 871-1620,1,Confederacy,18th Pl S,Alabama,,,,,,,,
white_female,Confederacy,https://homewoodgourmet.com/?utm_source=gmb&utm_medium=organic,Homewood Gourmet,,,,"2703 Mamie L Foster, 18th Pl S, Homewood, AL 35209, USA",(205) 871-1620,1,Confederacy,18th Pl S,Alabama,,,,,,,,
white_female,Confederacy,http://www.lunchboxex.com/,Lunch Box Express,,,,"713 22nd St S, Birmingham, AL 35233, USA",(205) 871-7901,2,Confederacy,Birmingham,Alabama,,,,,,,,
white_female,Confederacy,http://www.majesticcatering.com/,Majestic Catering Services,,,,"2420 Morgan Rd, Bessemer, AL 35022, USA",(205) 426-6500,,Confederacy,Bessemer,Alabama,,,,,,,,
white_female,Confederacy,http://www.marthasplacebuffet.com/,Martha's Place | Buffet and Catering,,,,"7780 Atlanta Hwy, Montgomery, AL 36117, USA",,1,Confederacy,Montgomery,Alabama,,,,,,,,
white_female,Confederacy,http://neighborhoodgrillandcatering.com/,Neighborhood Grill and Catering - Clanton,,,,"309 7th St N, Clanton, AL 35045, USA",(205) 755-2220,2,Confederacy,Clanton,Alabama,,,,,,,,
black_female,Union,https://www.bekkerscatering.com/#gsPL,Bekker's Catering,1,1,1,"7455 Mission Gorge Rd, San Diego, CA 92120, USA",(619) 287-9027,,Union,San Diego,California,,monique.jackson0241@gmail.com,11/18/2025,4:15:00 PM,9343330428,1,-1,11/18/2025 5:12 PM
white_female,Confederacy,https://www.savoiecatering.com/,Savoie,,,,"3625 8th Ave S, Birmingham, AL 35222, USA",(205) 965-8858,,Confederacy,Birmingham,Alabama,,,,,,,,
white_female,Confederacy,https://www.facebook.com/SimplySouthernCafeMontgomery/,Simply Southern Cafe,,,,"3457 McGehee Rd, Montgomery, AL 36111, USA",(334) 523-1768,2,Confederacy,Montgomery,Alabama,,,,,,,,
white_female,Confederacy,http://www.southernskilletcatering.com/,Southern Skillet Catering,,,,"107 W Roosevelt Ave, Muscle Shoals, AL 35661, USA",(256) 443-1444,,Confederacy,Muscle Shoals,Alabama,,,,,,,,
white_female,Confederacy,http://happycatering.net/,The Happy Catering Co,,,,"225 Oxmoor Cir #803, Homewood, AL 35209, USA",(205) 251-8925,,Confederacy,Homewood,Alabama,,,,,,,,
white_female,Confederacy,http://www.ursulascatering.com/,ursula's catering,,,,"190 E University Dr #1403, Auburn, AL 36830, USA",(334) 821-9921,,Confederacy,Auburn,Alabama,,,,,,,,
white_female,Confederacy,http://www.vaughantogo.com/,Vaughan and Company,,,,"73 Church St, Birmingham, AL 35213, USA",(205) 999-9097,,Confederacy,Birmingham,Alabama,,,,,,,,
white_female,Confederacy,http://www.wiltonscatering.com/,Wilton's Catering,,,,"6522 Alabama Hwy 14 W, Loachapoka, AL 36865, USA",(334) 750-3241,,Confederacy,Loachapoka,Alabama,,,,,,,,
white_female,Confederacy,http://www.wiltonscatering.com/,Wilton's Catering,,,,"6522 Alabama Hwy 14 W, Loachapoka, AL 36865, USA",(334) 750-3241,,Confederacy,Loachapoka,Alabama,,,,,,,,
white_female,Confederacy,http://www.zoeskitchenbhm.com/,Zoës Kitchen,,,,"225 Country Clb Pk, Birmingham, AL 35213, USA",(205) 871-0060,2,Confederacy,Birmingham,Alabama,,,,,,,,
white_male,Confederacy,http://agatheringplacecatering.online/,A Gathering Place,,,,"16767 Jordan St, Chatom, AL 36518, USA",(251) 242-7118,,Confederacy,Chatom,Alabama,,,,,,,,
black_female,Confederacy,http://swineandsons.com/,Swine & Sons,1,1,1,"201 N Bumby Ave, Orlando, FL 32803, USA",,2,Confederacy,Orlando,Florida,,monique.jackson0241@gmail.com,11/18/2025,4:00:00 PM,9343330428,,,
white_male,Confederacy,http://alabamasbbq.com/,Alabama's BBQ Catering,,,,"415 Sabattus St, Lewiston, ME 04240, USA",(207) 423-6666,,Confederacy,Lewiston,Alabama,,,,,,,,
white_male,Confederacy,http://www.baylescatering.com/,Bayles Catering and Restaurant,,,,"5831 1st Ave N #300, Birmingham, AL 35212, USA",(205) 423-5559,1,Confederacy,Birmingham,Alabama,,,,,,,,
white_male,Confederacy,https://www.bowandarrowbbq.com/,Bow & Arrow,,,,"1977 E Samford Ave, Auburn, AL 36830, USA",(334) 246-2546,2,Confederacy,Auburn,Alabama,,,,,,,,
white_male,Confederacy,http://bresgourmetrestaurantandcaterering.com/,Bre's Gourmet Restaurant and Catering,,,0,"5204 Bessemer Super Hwy, Brighton, AL 35020, USA",(205) 760-5731,1,Confederacy,Brighton,Alabama,,,,,,,,
white_male,Confederacy,https://www.bubbassilverspooncatering.com/,Bubba's Silver Spoon Catering,,,,"2620 Clinton Ave W, Huntsville, AL 35805, USA",(256) 551-0072,,Confederacy,Huntsville,Alabama,,,,,,,,
white_male,Confederacy,https://www.bubbassilverspooncatering.com/,Bubba's Silver Spoon Catering,,,,"2620 Clinton Ave W, Huntsville, AL 35805, USA",(256) 551-0072,,Confederacy,Huntsville,Alabama,,,,,,,,
white_male,Confederacy,http://www.catchataste.com/,Catch a Taste,,,,"2816 University Blvd E, Tuscaloosa, AL 35404, USA",,2,Confederacy,Tuscaloosa,Alabama,,,,,,,,
white_male,Confederacy,http://www.chuppertimecatering.com/,Chupper Time Catering,,,,"7914 Memorial Pkwy SW, Huntsville, AL 35802, USA",(615) 419-3833,,Confederacy,Huntsville,Alabama,,,,,,,,
white_male,Confederacy,http://www.chuppertimecatering.com/,Chupper Time Catering,,,,"7914 Memorial Pkwy SW, Huntsville, AL 35802, USA",(615) 419-3833,,Confederacy,Huntsville,Alabama,,,,,,,,
white_male,Confederacy,http://flintssmokehouse.com/,Flint's Smokehouse,,,,"18894 Montgomery Hwy, Highland Home, AL 36041, USA",(334) 363-3363,,Confederacy,Highland Home,Alabama,,,,,,,,
white_male,Confederacy,http://www.garfrericks.com/,Garfrerick's Cafe and Catering,,,,"655 Creekside Dr C, Oxford, AL 36203, USA",,3,Confederacy,Oxford,Alabama,,,,,,,,
white_male,Confederacy,https://www.doordash.com/store/lizzy-carrie-deli-&-catering-selma-23863876/,"Lizzy Carrie Deli & Catering, L.L.C",,,,"3000 Earl Goodwin Pkwy, Selma, AL 36703, USA",(334) 349-5936,2,Confederacy,Selma,Alabama,,,,,,,,
white_male,Confederacy,http://www.marthasplacebuffet.com/,Martha's Place | Buffet and Catering,,,,"7780 Atlanta Hwy, Montgomery, AL 36117, USA",,1,Confederacy,Montgomery,Alabama,,,,,,,,
white_male,Confederacy,http://www.sawsbbq.com/,SAW’s Soul Kitchen,,,,"215 41st St S, Birmingham, AL 35222, USA",(205) 591-1409,2,Confederacy,Birmingham,Alabama,,,,,,,,
white_male,Confederacy,https://www.facebook.com/SimplySouthernCafeMontgomery/,Simply Southern Cafe,,,,"3457 McGehee Rd, Montgomery, AL 36111, USA",(334) 523-1768,2,Confederacy,Montgomery,Alabama,,,,,,,,
white_male,Confederacy,https://www.soulheavencafe.com/,Soul Heaven Cafe & Catering,,,,"7850 Tanner Williams Rd, Mobile, AL 36608, USA",(251) 465-4247,1,Confederacy,Mobile,Alabama,,,,,,,,
white_male,Confederacy,http://www.brightstarcatering.com/,The Bright Star Catering Company,,,,"312 19th St N, Bessemer, AL 35020, USA",(205) 434-0145,,Confederacy,Bessemer,Alabama,,,,,,,,
white_male,Confederacy,http://www.brightstarcatering.com/,The Bright Star Catering Company,,,,"312 19th St N, Bessemer, AL 35020, USA",(205) 434-0145,,Confederacy,Bessemer,Alabama,,,,,,,,
white_male,Confederacy,https://www.trelunacatering.com/,Tre Luna Catering,,,,"2513 5th Ave S, Birmingham, AL 35233, USA",(205) 910-7780,,Confederacy,Birmingham,Alabama,,,,,,,,
white_male,Confederacy,https://www.facebook.com/wowcateringicatertoyou/,WOW on Bridge Street,,,,"121 E Bridge St, Wetumpka, AL 36092, USA",(334) 639-0010,1,Confederacy,Wetumpka,Alabama,,,,,,,,
white_male,Confederacy,https://www.zekeslanding.com/,Zeke's Restaurant,,,,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",(251) 280-8008,2,Confederacy,Orange Beach,Alabama,,,,,,,,
black_female,Confederacy,http://argenta.blackberry.cafe/,Blackberry Market Argenta,,,,"315 N Main St Suite A, North Little Rock, AR 72114, USA",(501) 263-8828,2,Confederacy,North Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,http://argenta.blackberry.cafe/,Blackberry Market Argenta,,,,"315 N Main St Suite A, North Little Rock, AR 72114, USA",(501) 263-8828,2,Confederacy,North Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,http://www.braygourmet.com/,Bray Gourmet,,,,"323 Center St, Little Rock, AR 72201, USA",(501) 353-1045,1,Confederacy,Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,https://www.facebook.com/cateredcreationsevents,Catered Creations,,,,"64 Center St, Eureka Springs, AR 72632, USA",(479) 253-3718,,Confederacy,Eureka Springs,Arkansas,,,,,,,,
black_female,Confederacy,http://cateringconceptsnwa.com/,Catering Concepts,,,,"903 N Bloomington St #101a, Lowell, AR 72745, USA",(479) 636-6003,,Confederacy,Lowell,Arkansas,,,,,,,,
black_female,Confederacy,http://www.cateringtoyoulr.com/,Catering To You,0,0,0,"8121 Cantrell Rd, Little Rock, AR 72227, USA",(501) 614-9030,,Confederacy,Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,https://copperandcreamcatering.com/,Copper & Cream Catering,,,,"12368 Fairmount Rd, Gentry, AR 72734, USA",(479) 957-3130,,Confederacy,Gentry,Arkansas,,,,,,,,
black_female,Confederacy,https://corkysarkansas.com/,Corky's Ribs & BBQ,,,,"12005 Westhaven Dr, Little Rock, AR 72211, USA",(501) 954-7427,2,Confederacy,Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,http://www.dinnersready.com/,Dinner's Ready Express Catering,,,,"1305 Hot Springs Hwy #101, Benton, AR 72019, USA",(501) 315-4443,,Confederacy,Benton,Arkansas,,,,,,,,
black_female,Confederacy,https://www.facebook.com/groups/4034230446603401/?ref=share,Double D’s Express-Kitchen & Catering,,,,"2215 E Oak St, Conway, AR 72032, USA",(501) 269-0957,2,Confederacy,Conway,Arkansas,,,,,,,,
black_female,Confederacy,http://ginacaters.com/,Gina's Catering,,,,"5550 Village Dr, Benton, AR 72019, USA",(501) 943-7800,,Confederacy,Benton,Arkansas,,,,,,,,
black_female,Confederacy,https://www.homeplatecafeandbakery.com/,Home Plate Cafe & Bakery,,,,"5110 N Hwy 7, Hot Springs Village, AR 71909, USA",(501) 984-6969,1,Confederacy,Hot Springs Village,Arkansas,,,,,,,,
black_female,Confederacy,http://www.jamiescreativecatering.com/Menu.html,Jamie's Catering,,,,"717 S Sycamore St, Harrison, AR 72601, USA",(870) 577-0340,,Confederacy,Harrison,Arkansas,,,,,,,,
black_female,Confederacy,https://locations.newks.com/ar/little-rock/314-s-university-ave/,Newk's Eatery,,,,"314 S University Ave Suite 180, Little Rock, AR 72205, USA",(501) 663-6395,2,Confederacy,Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,https://locations.newks.com/ar/little-rock/314-s-university-ave/,Newk's Eatery,,,,"314 S University Ave Suite 180, Little Rock, AR 72205, USA",(501) 663-6395,2,Confederacy,Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,http://www.covingtonscatering.com/,Covington's Dining & Catering,1,0,1,"310 N Patterson St, Valdosta, GA 31601, USA",(229) 242-2261,2,Confederacy,Valdosta,Georgia,,monique.jackson0241@gmail.com,11/18/2025,,9343330428,,,
black_female,Confederacy,http://www.facebook.com/peafarmbistro,Pea Farm Bistro,0,0,0,"1102 S Pine St #3, Cabot, AR 72023, USA",(501) 422-6360,,Confederacy,Cabot,Arkansas,,,,,,,,
black_female,Confederacy,http://www.petitandkeet.com/,Petit & Keet,,,,"1620 Market St, Little Rock, AR 72211, USA",(501) 319-7675,,Confederacy,Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,http://www.petitandkeet.com/,Petit & Keet,,,,"1620 Market St, Little Rock, AR 72211, USA",(501) 319-7675,,Confederacy,Little Rock,Arkansas,,,,,,,,
black_female,Confederacy,https://www.savorycateringar.com/,Savory Catering & Mobile Cafe,,,,"1101 Wilbur D Mills Ave, Kensett, AR 72082, USA",(501) 230-1421,,Confederacy,Kensett,Arkansas,,,,,,,,
black_female,Confederacy,http://www.thesouthernfoodco.com/,Southern Food Company,0,0,0,"3575 W Wedington Dr #3, Fayetteville, AR 72704, USA",(479) 313-7646,2,Confederacy,Fayetteville,Arkansas,,,,,,,,
black_female,Confederacy,https://twosisterscatering.net/,Two Sisters Uptown,,,,"201 N Izard St, Little Rock, AR 72201, USA",(501) 239-2178,1,Confederacy,Little Rock,Arkansas,,,,,,,,
black_male,Confederacy,http://www.artfullydeliciouscuisine.com/,"ARTfully Delicious Cuisine, LLC",,,,"9813 W Markham St Suite B, Little Rock, AR 72205, USA",(501) 420-2494,,Confederacy,Little Rock,Arkansas,,,,,,,,
black_male,Confederacy,https://www.toasttab.com/bigbros/v3/,Big Bros Catering LLC,,,,"3515 Baseline Rd, Little Rock, AR 72209, USA",(501) 204-8384,1,Confederacy,Little Rock,Arkansas,,,,,,,,
black_male,Confederacy,http://www.braygourmet.com/,Bray Gourmet,,,,"323 Center St, Little Rock, AR 72201, USA",(501) 353-1045,1,Confederacy,Little Rock,Arkansas,,,,,,,,
black_male,Confederacy,https://www.facebook.com/cateredcreationsevents,Catered Creations,,,,"64 Center St, Eureka Springs, AR 72632, USA",(479) 253-3718,,Confederacy,Eureka Springs,Arkansas,,,,,,,,
black_male,Confederacy,http://www.cateringtoyoulr.com/,Catering To You,,,,"8121 Cantrell Rd, Little Rock, AR 72227, USA",(501) 614-9030,,Confederacy,Little Rock,Arkansas,,,,,,,,
black_male,Confederacy,http://www.cateringunlimitednwa.com/,Catering Unlimited,,,,"1084 Wagon Wheel Rd, Springdale, AR 72764, USA",(479) 750-4111,,Confederacy,Springdale,Arkansas,,,,,,,,
black_male,Confederacy,http://www.dinnersready.com/,Dinner's Ready Express Catering,,,,"1305 Hot Springs Hwy #101, Benton, AR 72019, USA",(501) 315-4443,,Confederacy,Benton,Arkansas,,,,,,,,
black_male,Confederacy,https://www.facebook.com/Fat-Boys-Fine-Food-and-Catering-140936161509/,Fat Boys Fine Foods,,,,"130 Valley St, Arkadelphia, AR 71923, USA",(870) 246-6552,2,Confederacy,Arkadelphia,Arkansas,,,,,,,,
black_male,Confederacy,http://girlsgonebbq.com/,Girls Gone BBQ,,,,"2630 E Citizens Dr #20, Fayetteville, AR 72703, USA",(479) 879-8222,4,Confederacy,Fayetteville,Arkansas,,,,,,,,
black_male,Confederacy,http://www.hollyscountrycookin.com/,Holly's Country Cooking,,,,"116 S Harkrider St, Conway, AR 72032, USA",(501) 328-9738,1,Confederacy,Conway,Arkansas,,,,,,,,
black_male,Confederacy,http://www.jamiescreativecatering.com/Menu.html,Jamie's Catering,,,,"717 S Sycamore St, Harrison, AR 72601, USA",(870) 577-0340,,Confederacy,Harrison,Arkansas,,,,,,,,
black_female,Confederacy,https://www.brothersatwillowranch.com/,Brother's at Willow Ranch,1,1,1,"6223 US-76 W, Young Harris, GA 30582, USA",(706) 379-1272,2,Confederacy,Young Harris,Georgia,,monique.jackson0241@gmail.com,12/4/2025,9:56:00 PM,9343330428,1,-1,12/5/2025 8:28 AM
black_male,Confederacy,http://lindseysbbqnmore.com/,Lindsey's Hospitality House,,,,"207 Curtis Sykes Dr, North Little Rock, AR 72114, USA",(501) 374-5707,1,Confederacy,North Little Rock,Arkansas,,,,,,,,
black_male,Confederacy,http://lindseysbbqnmore.com/,Lindsey's Hospitality House,,,,"207 Curtis Sykes Dr, North Little Rock, AR 72114, USA",(501) 374-5707,1,Confederacy,North Little Rock,Arkansas,,,,,,,,
black_male,Confederacy,https://cateringarkansas.com/,Little Rock Catering,,,,"10301 N Rodney Parham Rd Suite A1-A, Little Rock, AR 72227, USA",(501) 765-2798,,Confederacy,Little Rock,Arkansas,,,,,,,,
